"","fips","SCC","Pollutant","Emissions","type","year","summ"
"268","24510","2267006030","PM25-PRI",0,"NON-ROAD","1999",7332966.73700002
"269","24510","2268003020","PM25-PRI",0.14,"NON-ROAD","1999",7332966.73700002
"270","24510","2268003060","PM25-PRI",0,"NON-ROAD","1999",7332966.73700002
"271","24510","2268003070","PM25-PRI",0,"NON-ROAD","1999",7332966.73700002
"272","24510","2268006005","PM25-PRI",0.02,"NON-ROAD","1999",7332966.73700002
"273","24510","2268006010","PM25-PRI",0,"NON-ROAD","1999",7332966.73700002
"274","24510","2268006015","PM25-PRI",0,"NON-ROAD","1999",7332966.73700002
"275","24510","2268006020","PM25-PRI",0.05,"NON-ROAD","1999",7332966.73700002
"276","24510","2270003010","PM25-PRI",0.99,"NON-ROAD","1999",7332966.73700002
"277","24510","2270003020","PM25-PRI",5.26,"NON-ROAD","1999",7332966.73700002
"278","24510","2270003030","PM25-PRI",2.05,"NON-ROAD","1999",7332966.73700002
"279","24510","2270003040","PM25-PRI",2.12,"NON-ROAD","1999",7332966.73700002
"280","24510","2270003050","PM25-PRI",0.22,"NON-ROAD","1999",7332966.73700002
"281","24510","2270003060","PM25-PRI",11.8,"NON-ROAD","1999",7332966.73700002
"282","24510","2270003070","PM25-PRI",2.43,"NON-ROAD","1999",7332966.73700002
"283","24510","2270004031","PM25-PRI",0,"NON-ROAD","1999",7332966.73700002
"284","24510","2270004036","PM25-PRI",0.09,"NON-ROAD","1999",7332966.73700002
"285","24510","2270004046","PM25-PRI",1.37,"NON-ROAD","1999",7332966.73700002
"286","24510","2270004056","PM25-PRI",0.18,"NON-ROAD","1999",7332966.73700002
"287","24510","2270004066","PM25-PRI",0.36,"NON-ROAD","1999",7332966.73700002
"288","24510","2270004071","PM25-PRI",0.49,"NON-ROAD","1999",7332966.73700002
"289","24510","2270004076","PM25-PRI",0,"NON-ROAD","1999",7332966.73700002
"290","24510","2270006005","PM25-PRI",7.15,"NON-ROAD","1999",7332966.73700002
"291","24510","2270006010","PM25-PRI",1.58,"NON-ROAD","1999",7332966.73700002
"292","24510","2270006015","PM25-PRI",3.67,"NON-ROAD","1999",7332966.73700002
"293","24510","2270006025","PM25-PRI",4.06,"NON-ROAD","1999",7332966.73700002
"294","24510","2270006030","PM25-PRI",0.2,"NON-ROAD","1999",7332966.73700002
